PASS | version agreement
PASS | mandatory prompt identity
PASS | one release one mechanic rule
PASS | prompt packaging prohibition
PASS | prompt honest status tokens
PASS | research-system full-closure guard
PASS | Thaumonomicon cumulative guard
PASS | Java 17 self-test and targeted parse
PASS | Java syntax guard
PASS | JSON resources
PASS | runtime manifest
PASS | recipe denominator
PASS | GameTest uniqueness
PASS | manifest uniqueness
PASS | full report exists
PASS | evidence copies identity
PASS | honest evidence statuses
PASS | evidence counts
PASS | honest Gradle failure
PASS | required Java evidence
PASS | focused CI evidence
PASS | no false build success
PASS | clean source tree
PASS | original registry denominator
PASS | zero primal starter pool
PASS | legacy wallet max migration
PASS | single unified aspect wallet
PASS | exact original note tags
PASS | creative cannot bypass note cost
PASS | existing note short-circuits cost
PASS | table create button disabled
PASS | table complete button disabled
PASS | table actions silent and exact
PASS | research packets silent
PASS | duplicate overstack preserved
PASS | duplicate exact escalating cost
PASS | secondary exact research costs
PASS | original prerequisite error only
PASS | no invented research chat
PASS | table recalc cadence 600
PASS | table bonus radius 8
PASS | all 53 original resources byte-identical
PASS | README current
PASS | known deviations current
PASS | status current
PASS | start-here current
FINAL RECHECK v11.64.27: PASS (46/46)
